company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
033100,2017-07-29,23,4,1.7391304347826086,0.17391304347826086
080220,2017-07-24,2,0,1.5,0.0
080220,2017-07-25,3,1,2.0,0.3333333333333333
080220,2017-07-26,2,1,2.5,0.5
080220,2017-07-27,2,0,1.5,0.0
080220,2017-07-28,3,1,1.6666666666666667,0.3333333333333333
105560,2017-07-23,3,1,2.0,0.3333333333333333
105560,2017-07-24,5,1,2.2,0.2
105560,2017-07-25,6,2,1.8333333333333333,0.3333333333333333
105560,2017-07-26,3,0,1.3333333333333333,0.0
105560,2017-07-27,3,1,2.3333333333333335,0.3333333333333333
105560,2017-07-28,4,0,1.75,0.0
105560,2017-07-29,3,0,1.6666666666666667,0.0
190510,2017-07-23,1,0,1.0,0.0
190510,2017-07-24,2,0,2.0,0.0
190510,2017-07-25,4,0,1.75,0.0
190510,2017-07-26,7,1,2.142857142857143,0.14285714285714285
