date,close,net_profit
28/10/2016,41950,4.53931E+11
31/10/2016,42300,4.53931E+11
01/11/2016,41950,4.53931E+11
02/11/2016,41000,4.53931E+11
03/11/2016,41000,4.53931E+11
04/11/2016,40400,4.53931E+11
07/11/2016,40850,4.53931E+11
08/11/2016,40650,4.53931E+11
09/11/2016,40650,4.53931E+11
10/11/2016,41950,4.53931E+11
11/11/2016,42500,4.53931E+11
14/11/2016,41900,4.53931E+11
15/11/2016,41900,4.53931E+11
16/11/2016,41200,4.53931E+11
17/11/2016,40500,4.53931E+11
18/11/2016,40800,4.53931E+11
21/11/2016,40350,4.53931E+11
22/11/2016,40750,4.53931E+11
23/11/2016,41850,4.53931E+11
24/11/2016,41800,4.53931E+11
25/11/2016,41950,4.53931E+11
28/11/2016,41950,4.53931E+11
29/11/2016,42050,4.53931E+11
30/11/2016,42100,4.53931E+11
01/12/2016,41850,4.53931E+11
02/12/2016,42000,4.53931E+11
05/12/2016,41400,4.53931E+11
06/12/2016,40850,4.53931E+11
07/12/2016,41850,4.53931E+11
08/12/2016,44400,4.53931E+11
09/12/2016,43400,4.53931E+11
12/12/2016,43700,4.53931E+11
13/12/2016,43100,4.53931E+11
14/12/2016,43050,4.53931E+11
15/12/2016,42650,4.53931E+11
16/12/2016,44100,4.53931E+11
19/12/2016,44250,4.53931E+11
20/12/2016,44000,4.53931E+11
21/12/2016,44000,4.53931E+11
22/12/2016,44000,4.53931E+11
23/12/2016,43550,4.53931E+11
26/12/2016,43600,4.53931E+11
27/12/2016,43400,4.53931E+11
28/12/2016,43300,4.53931E+11
29/12/2016,42800,4.53931E+11
02/01/2017,42600,8.70101E+11
03/01/2017,43700,8.70101E+11
04/01/2017,44150,8.70101E+11
05/01/2017,42800,8.70101E+11
06/01/2017,42650,8.70101E+11
09/01/2017,42400,8.70101E+11
10/01/2017,43250,8.70101E+11
11/01/2017,43350,8.70101E+11
12/01/2017,44100,8.70101E+11
13/01/2017,43850,8.70101E+11
16/01/2017,45150,8.70101E+11
17/01/2017,45850,8.70101E+11
18/01/2017,45800,8.70101E+11
19/01/2017,45550,8.70101E+11
20/01/2017,45400,8.70101E+11
23/01/2017,44750,8.70101E+11
24/01/2017,45100,8.70101E+11
25/01/2017,46300,8.70101E+11
26/01/2017,47200,8.70101E+11
31/01/2017,47000,8.70101E+11
01/02/2017,47800,8.70101E+11
02/02/2017,47350,8.70101E+11
03/02/2017,47550,8.70101E+11
06/02/2017,47900,8.70101E+11
07/02/2017,47950,8.70101E+11
08/02/2017,47250,8.70101E+11
09/02/2017,47600,8.70101E+11
10/02/2017,47800,8.70101E+11
13/02/2017,47950,8.70101E+11
14/02/2017,48000,8.70101E+11
15/02/2017,46950,8.70101E+11
16/02/2017,46950,8.70101E+11
17/02/2017,47300,8.70101E+11
20/02/2017,47350,8.70101E+11
21/02/2017,47550,8.70101E+11
22/02/2017,47200,8.70101E+11
23/02/2017,47650,8.70101E+11
24/02/2017,47700,8.70101E+11
27/02/2017,45850,8.70101E+11
28/02/2017,46900,8.70101E+11
02/03/2017,48050,8.70101E+11
03/03/2017,47400,8.70101E+11
06/03/2017,47500,8.70101E+11
07/03/2017,47950,8.70101E+11
08/03/2017,48900,8.70101E+11
09/03/2017,49000,8.70101E+11
10/03/2017,49000,8.70101E+11
13/03/2017,50700,8.70101E+11
14/03/2017,51600,8.70101E+11
15/03/2017,51400,8.70101E+11
16/03/2017,51700,8.70101E+11
17/03/2017,51900,8.70101E+11
20/03/2017,50900,8.70101E+11
21/03/2017,50600,8.70101E+11
22/03/2017,49700,8.70101E+11
23/03/2017,50300,8.70101E+11
24/03/2017,50200,8.70101E+11
27/03/2017,49200,8.70101E+11
28/03/2017,49400,8.70101E+11
29/03/2017,49900,8.70101E+11
30/03/2017,49350,8.70101E+11
